ID,Name,Type,Phase,Frozen,Duration,Start time,Relative time,Average rating,Round number,Division,Date
"1801","Codeforces Round 857 (Div. 1)","CF","FINISHED","false","10800","1678354500","64238926","2357.1428571428573","857","1","3/9/2023"
"1794","Codeforces Round 856 (Div. 2)","CF","FINISHED","false","7200","1677951300","64642126","1460","856","2","3/4/2023"
"1800","Codeforces Round 855 (Div. 3)","ICPC","FINISHED","false","8100","1677767700","64825726","1344.4444444444443","855","3","3/2/2023"
"1796","Educational Codeforces Round 144 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1677594900","64998526","1800","144","2","2/28/2023"
"1799","Codeforces Round 854 by cybercats (Div. 1 + Div. 2)","CF","FINISHED","false","10800","1677508500","65084926","2055.5555555555557","854","1","2/27/2023"
"1789","Codeforces Round 853 (Div. 2)","CF","FINISHED","false","7200","1677334800","65258626","1750","853","2","2/25/2023"
"1795","Educational Codeforces Round 143 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1676558100","66035326","1728.5714285714287","143","2","2/16/2023"
"1793","Codeforces Round 852 (Div. 2)","CF","FINISHED","false","7200","1676190900","66402526","1683.3333333333333","852","2","2/12/2023"
"1788","Codeforces Round 851 (Div. 2)","CF","FINISHED","false","7200","1675953300","66640126","1650","851","2","2/9/2023"
"1791","Codeforces Round 849 (Div. 4)","ICPC","FINISHED","false","8700","1675434900","67158526","1125","849","4","2/3/2023"
"1778","Codeforces Round 848 (Div. 2)","CF","FINISHED","false","7200","1675262100","67331326","1816.6666666666667","848","2","2/1/2023"
"1790","Codeforces Round 847 (Div. 3)","ICPC","FINISHED","false","8100","1674830100","67763326","1371.4285714285713","847","3","1/27/2023"
"1780","Codeforces Round 846 (Div. 2)","CF","FINISHED","false","7200","1674657300","67936126","1800","846","2","1/25/2023"
"1792","Educational Codeforces Round 142 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1674570900","68022526","1885.7142857142858","142","2","1/24/2023"
"1777","Codeforces Round 845 (Div. 2) and ByteRace 2023","CF","FINISHED","false","7200","1674311700","68281726","1650","845","2","1/21/2023"
"1775","Codeforces Round 843 (Div. 2)","CF","FINISHED","false","9000","1673349300","69244126","1571.4285714285713","843","2","1/10/2023"
"1783","Educational Codeforces Round 141 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1673188500","69404926","1885.7142857142858","141","2","1/8/2023"
"1768","Codeforces Round 842 (Div. 2)","CF","FINISHED","false","7200","1672929300","69664126","1666.6666666666667","842","2","1/5/2023"
"1731","Codeforces Round 841 (Div. 2) and Divide by Zero 2022","CF","FINISHED","false","7200","1672151700","70441726","1633.3333333333333","841","2","12/27/2022"
